,Prix,Titre,location,Type,Model,Marque,Kilometrage,Etat,Puissance fiscale,Premiere_main,Nombre_de_portes,Origine,Secteur
0,PRIX NON SPÉCIFIÉ,Mercedes CLASSE 220 pack AMG,Tétouan,"Voitures d'occasion, à vendre",Classe C,Mercedes-Benz,20 000 - 24 999,Excellent,8 CV,Oui,5,Importée neuve,Saniat Rmal
1,PRIX NON SPÉCIFIÉ,Peugeot 208 Diesel Manuelle 2021/699914566,Temara,"Voitures d'occasion, à vendre",208,Peugeot,100 000 - 109 999,Excellent,6 CV,Oui,5,WW au Maroc,Harhoura
2,128 000 DH,ford focus,Meknès,"Voitures d'occasion, à vendre",Focus,Ford,160 000 - 169 999,Très bon,6 CV,Non,5,WW au Maroc,Autre secteur
3,PRIX NON SPÉCIFIÉ,range rover evoque,Kénitra,"Voitures d'occasion, à vendre",Range Rover Evoque,Land Rover,200 000 - 249 999,Excellent,9 CV,Non,5,WW au Maroc,La Base
4,163 000 DH,skoda octavia 2018,Casablanca,"Voitures d'occasion, à vendre",Octavia,Skoda,170 000 - 179 999,,8 CV,,5,WW au Maroc,Californie
5,305 000 DH,Hyundai TUCSON 1.6L automatique,Fès,"Voitures d'occasion, à vendre",Tucson,Hyundai,95 000 - 99 999,Excellent,6 CV,Oui,5,WW au Maroc,Route Ain Chkaf
6,113 000 DH,Dacia Logan Diesel Manuelle 2018 à Tétouan,Tétouan,"Voitures d'occasion, à vendre",Logan,Dacia,140 000 - 149 999,Très bon,6 CV,Non,5,WW au Maroc,Autre secteur
7,316 000 DH,SKODA OCT1VIA,Urgent,"Voitures d'occasion, à vendre",Octavia,Skoda,85 000 - 89 999,Très bon,8 CV,Non,5,WW au Maroc,Marjane
8,185 000 DH,santafe 2015,Salé,"Voitures d'occasion, à vendre",Santa Fe,Hyundai,130 000 - 139 999,Excellent,9 CV,Non,5,WW au Maroc,Andalouss
9,45 000 DH,honda jazz2004,El Jadida,"Voitures d'occasion, à vendre",Jazz,Honda,200 000 - 249 999,Très bon,8 CV,Non,5,WW au Maroc,Biranzarane
10,PRIX NON SPÉCIFIÉ,Audi A4,Kénitra,"Voitures d'occasion, à vendre",A4,Audi,250 000 - 299 999,Très bon,8 CV,Non,5,Dédouanée,El Haddada
11,75 000 DH,Peugeot 207 Diesel,Fès,"Voitures d'occasion, à vendre",207,Peugeot,180 000 - 189 999,Excellent,6 CV,Non,5,WW au Maroc,Agdal
12,25 000 DH,205 مزال نقية لبغاھا مرحبا,Salé,"Voitures d'occasion, à vendre",205,Peugeot,250 000 - 299 999,Excellent,6 CV,Non,5,WW au Maroc,Hay Salam
